"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Das Geheimnis der vergessenen Stadt","Cliff","Millard","Belletristik","9783800053070",,"Buch","Außenstelle Brigittenau I"
"Windows NT Server 3.5x","Mark","Minasi","Fachbuch IT","9783815501948",,"Buch","Außenstelle Brigittenau I"
"Quantum Field Theory","Roland","Mirman","Fachbuch Naturwissenschaften","9780595336920",,"Buch","Außenstelle Brigittenau I"
"Shaolin","Bernhard","Moestl","Fachbuch Religion","9783426783986",,"Buch","Außenstelle Brigittenau I"
"Die Jungen der Paulstraße","Franz","Molnar","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Leben nach dem Tod","Raymond","Moody","Fachbuch Philosophie",,,"Buch","Außenstelle Brigittenau I"
"Goldfieber","Georg","Morgenstern","Belletristik","3483006834",,"Buch","Außenstelle Brigittenau I"
"Operation Red Jericho","Joshua","Mowll","Belletristik","9783791513607",,"Buch","Außenstelle Brigittenau I"
"Operation Taifun","Joshua","Mowll","Belletristik","9783791513614",,"Buch","Außenstelle Brigittenau I"
"Formen moderner deutscher Lyrik","Hartmut","Müller","Romansammlung","3506728113",,"Buch","Außenstelle Brigittenau I"
"Geburtstag in Florenz","Magdalen","Nabb","Belletristik","9783257231649",,"Buch","Außenstelle Brigittenau I"
"New World: Die Flucht","Patrick","Ness","Belletristik","9783473352999",,"Buch","Außenstelle Brigittenau I"
"Ich bleib so scheiße wie ich bin","Rebecca","Niazi-Shahabi","Belletristik","9783492300568",,"Buch","Außenstelle Brigittenau I"
"Antenna Modelling","Steve","Nichols","Fachbuch Elektronik","9781910193006",,"Buch","Außenstelle Brigittenau I"
"Das Antwortbuch der Astronomie","Iain","Nicolson","Fachbuch Naturwissenschaften","3788603232",,"Buch","Außenstelle Brigittenau I"
"Anastasia","Hans","Nogly","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Die Rache der Komantschen","Patrick","O'Connor","Belletristik","587254327X",,"Buch","Außenstelle Brigittenau I"
"Das System","Karl","Olsberg","Belletristik","9783746623672",,"Buch","Außenstelle Brigittenau I"
"Wolkenpiraten","Kenneth","Oppel","Belletristik","9783407740663",,"Buch","Außenstelle Brigittenau I"
"1984","George","Orwell","Belletristik","9783548234106",,"Buch","Außenstelle Brigittenau I"
"Animal Farm","George","Orwell","Belletristik","9780141036137",,"Buch","Außenstelle Brigittenau I"
"Horizonte","Gerhard","Osterbauer","Anderes",,,"Buch","Außenstelle Brigittenau I"
"Rübezahl","Maria","Pacolt","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Eragon","Christopher","Paolini","Belletristik","9783570400494",,"Buch","Außenstelle Brigittenau I"
"Weniger schlecht programmieren","Kathrin","Passig","Fachbuch IT","9783897215672",,"Buch","Außenstelle Brigittenau I"
"Die Wolke","Gudrun","Pausewang","Belletristik","9783473580149",,"Buch","Außenstelle Brigittenau I"
"Nachtbus nach Chikago","Richard","Peck","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Haushalts Buch","Barty","Phillips","Fachbuch Diverse",,,"Buch","Außenstelle Brigittenau I"
"Schwein gehabt!","Christa","Pöppelmann","Fachbuch Diverse","9783817466665",,"Buch","Außenstelle Brigittenau I"
"Design for Community","Derek","Powazek","Fachbuch IT","9780735710757",,"Buch","Außenstelle Brigittenau I"
"Erebos","Ursula","Poznanski","Belletristik","9783785569573",,"Buch","Außenstelle Brigittenau I"
"Ab die Post","Terry","Pratchett","Belletristik","9783442464227",,"Buch","Außenstelle Brigittenau I"
"Alles Sense!","Terry","Pratchett","Belletristik","9783442421305",,"Buch","Außenstelle Brigittenau I"
"Das Licht der Phantasie","Terry","Pratchett","Belletristik","9783492285018",,"Buch","Außenstelle Brigittenau I"
"Der fünfte Elefant","Terry","Pratchett","Belletristik","9783442416585",,"Buch","Außenstelle Brigittenau I"
"Die Zeitdiebe","Terry","Pratchett","Belletristik","9783442457397",,"Buch","Außenstelle Brigittenau I"
"Einfach zauberhaft","Terry","Pratchett","Belletristik","9783442430505",,"Buch","Außenstelle Brigittenau I"
"Eric","Terry","Pratchett","Belletristik","9783492291774",,"Buch","Außenstelle Brigittenau I"
"Gevatter Tod & MacBest","Terry","Pratchett","Romansammlung","9783492269339",,"Buch","Außenstelle Brigittenau I"
"Heiße Hüpfer","Terry","Pratchett","Belletristik","9783442442324",,"Buch","Außenstelle Brigittenau I"
"Hohle Köpfe","Terry","Pratchett","Belletristik","9783442453986",,"Buch","Außenstelle Brigittenau I"
"Klonk!","Terry","Pratchett","Belletristik","9783442466665",,"Buch","Außenstelle Brigittenau I"
"Rollende Steine & Echt zauberhaft","Terry","Pratchett","Romansammlung","9783442134410",,"Buch","Außenstelle Brigittenau I"
"Ruhig Blut!","Terry","Pratchett","Belletristik","9783442442331",,"Buch","Außenstelle Brigittenau I"
"Steife Prise","Terry","Pratchett","Belletristik","9783442480876",,"Buch","Außenstelle Brigittenau I"
"Total verhext","Terry","Pratchett","Belletristik","9783442421312",,"Buch","Außenstelle Brigittenau I"
"Lords und Ladies; Helle Barden","Terry","Pratchett","Romansammlung","978344213392",,"Buch","Außenstelle Brigittenau I"
"Krabat","Ottfried","Preußler","Belletristik","3215024241",,"Buch","Außenstelle Brigittenau I"
"Open Source Projektmanagement","Michael","Prokop","Fachbuch IT","9783937514604",,"Buch","Außenstelle Brigittenau I"
"Der Schatz des Zauberers","Irene","Radford","Belletristik","9783404205530",,"Buch","Außenstelle Brigittenau I"
"Mensch und Strahlenwirkung","Ludwig","Rausch","Fachbuch Naturwissenschaften","3492027709",,"Buch","Außenstelle Brigittenau I"
"Das Hiroshima Tor","Ilka","Remes","Belletristik","9783423210447",,"Buch","Außenstelle Brigittenau I"
"Der dunkle Code","Ilkka","Remes","Belletristik","9783423714327",,"Buch","Außenstelle Brigittenau I"
"Mission Spyflight","Ilkka","Remes","Belletristik","9783423714969",,"Buch","Außenstelle Brigittenau I"
"Der Trotzkopf","Emmy","Rhoden","Belletristik","3800026090",,"Buch","Außenstelle Brigittenau I"
"Die Welle","Morton","Rhue","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Ich knall dich ab!","Morton","Rhue","Belletristik","9783473581726",,"Buch","Außenstelle Brigittenau I"
"Allgemeine und anorganische Chemie","Erwin","Riedel","Fachbuch Naturwissenschaften","9783110227819",,"Buch","Außenstelle Brigittenau I"
"OpenVPN kurz & gut","Sven","Riedel","Fachbuch IT","9783897215290",,"Buch","Außenstelle Brigittenau I"
"ACM 1","Christian","Riegler","Fachbuch Wirtschaft","9789190008218",,"Buch","Außenstelle Brigittenau I"
"Satellitenanlagen installieren","Thomas","Riegler","Fachbuch Elektronik","9783772345999",,"Buch","Außenstelle Brigittenau I"
"Feuchtgebiete","Charlotte","Roche","Belletristik","9783832180577",,"Buch","Außenstelle Brigittenau I"
"Countdown X: Alarm im Weltall 1","Roland","Rosenbauer","Belletristik","9783932234057",,"Buch","Außenstelle Brigittenau I"
"Countdown X: Alarm im Weltall 2","Roland","Rosenbauer","Belletristik","9783932234064",,"Buch","Außenstelle Brigittenau I"
"Kommunikationselektronik: Grundbildung","Heinrich","Rötter","Fachbuch Elektronik",,,"Buch","Außenstelle Brigittenau I"
"citrus 1","Sabu","Routa","Manga","9783842011854",,"Buch","Außenstelle Brigittenau I"
"Arthur und der Botschafter der Schatten","Gerd","Ruebenstrunk","Belletristik","9783760751900",,"Buch","Außenstelle Brigittenau I"
"Arthur und die vergessenen Bücher","Gerd","Ruebenstrunk","Belletristik","9783760736280",,"Buch","Außenstelle Brigittenau I"
"Darke","Angie","Sage","Belletristik","9783446237933",,"Buch","Außenstelle Brigittenau I"
"Flyte","Angie","Sage","Belletristik","9780060577360",,"Buch","Außenstelle Brigittenau I"
"Magyk","Angie","Sage","Belletristik","9783423623278",,"Buch","Außenstelle Brigittenau I"
"Physic","Angie","Sage","Belletristik","9783446208995",,"Buch","Außenstelle Brigittenau I"
"Queste","Angie","Sage","Belletristik","9783423624718",,"Buch","Außenstelle Brigittenau I"
"Grundzüge des betrieblichen Rechnungswesens","Michaela","Schaffhauser","Fachbuch Wirtschaft","9789060681008",,"Buch","Außenstelle Brigittenau I"
"Klausurensammlung Grundlagen der Buchhaltung","Michaela","Schaffhauser","Fachbuch Wirtschaft","9789061170105",,"Buch","Außenstelle Brigittenau I"
"Rechnungswesen","Michaela","Schaffhauser","Fachbuch Wirtschaft","9789061130109",,"Buch","Außenstelle Brigittenau I"
"Der Schwarm","Frank","Schätzing","Belletristik","3462033743",,"Buch","Außenstelle Brigittenau I"
"Limit","Frank","Schätzing","Belletristik","9783868005653",,"Buch","Außenstelle Brigittenau I"
"Mehr Arbeitsplätze durch ökologisches Wirtschaften?","Janina","Scheelhaase","Fachbuch Wirtschaft",,,"Buch","Außenstelle Brigittenau I"
"Des Teufels Maskerade","Victoria","Schlederer","Belletristik","9783453526556",,"Buch","Außenstelle Brigittenau I"
"Der Vorleser","Bernhard","Schlink","Belletristik","9783257229530",,"Buch","Außenstelle Brigittenau I"
"Der Vorleser","Bernhard","Schlink","Belletristik","9783257229530",,"Buch","Außenstelle Brigittenau I"
"Online für Medienmachende","Alexander","Schmitz","Fachbuch IT","9783842313255",,"Buch","Außenstelle Brigittenau I"
"Erfolgstips für den Schriftverkehr","Ulrich","Schoenwald","Fachbuch Wirtschaft","3806806780",,"Buch","Außenstelle Brigittenau I"
"Wenn Männer ihre Tage haben","Klaus","Schreiner","Belletristik","3596282918",,"Buch","Außenstelle Brigittenau I"
"Abenteuer am Strom","Günther","Schwab","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Justin Time: Das Portal","Peter","Schwindt","Belletristik","3785553536",,"Buch","Außenstelle Brigittenau I"
"Justin Time: Der Fall Montauk","Peter","Schwindt","Belletristik","9783499213946",,"Buch","Außenstelle Brigittenau I"
"Justin Time: Mission London","Peter","Schwindt","Belletristik","9783785557171",,"Buch","Außenstelle Brigittenau I"
"Justin Time: Verrat in Florenz","Peter","Schwindt","Belletristik","9783785555538",,"Buch","Außenstelle Brigittenau I"
"Ivanhoe","Walter","Scott","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Ivanhoe","Walter","Scott","Belletristik","9783899961522",,"Buch","Außenstelle Brigittenau I"
"Old Shatterhand vor Gericht","Jürgen","Seul","Belletristik","9783780201867",,"Buch","Außenstelle Brigittenau I"
"Gott schütze die Liebenden","Johannes","Simmel","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"PHP 5 Kochbuch","David","Sklar","Fachbuch IT","9783897214095",,"Buch","Außenstelle Brigittenau I"
"Die Sperrmüllpiraten","Franz","Sklentitzka","Belletristik","9783851910490",,"Buch","Außenstelle Brigittenau I"
"Jenkins","John","Smart","Fachbuch IT","9781449305352",,"Buch","Außenstelle Brigittenau I"
"Die Lehren Sri Caitanyas","Sri","Srimad","Fachbuch Religion","9789171495013",,"Buch","Außenstelle Brigittenau I"
"Literaturräume","Johann","Stangel","Fachbuch Diverse","9783209054852",,"Buch","Außenstelle Brigittenau I"
"ACM 1 - externe Unternehmungsrechnung","Christine","Steiger","Fachbuch Wirtschaft","9789190008225",,"Buch","Außenstelle Brigittenau I"
"König Artus","John","Steinbeck","Belletristik","9783423114905",,"Buch","Außenstelle Brigittenau I"
"6 Österreicher unter den ersten 5","Dirk","Stermann","Belletristik","9783550088353",,"Buch","Außenstelle Brigittenau I"
"Die Schatzinsel","Robert","Stevenson","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Sleepy Simon","Frank","Stieper","Belletristik","9783401028675",,"Buch","Außenstelle Brigittenau I"
"Chinesische Volksmärchen","Dana","Stovckova","Belletristik","3768457176",,"Buch","Außenstelle Brigittenau I"
"Fünf Löffel Elixier","Arkadi","Strugazki","Romansammlung","3814700449",,"Buch","Außenstelle Brigittenau I"
"Das Leicht-Lauf Programm","Ulrich","Strunz","Fachbuch Diverse",,,"Buch","Außenstelle Brigittenau I"
"Kill Decision","Daniel","Suarez","Belletristik","9783499259180",,"Buch","Außenstelle Brigittenau I"
"Der Kontrabaß","Patrick","Süskind","Belletristik","9783257230000",,"Buch","Außenstelle Brigittenau I"
"Seven deadly sins","Nakaba","Suzuki","Manga","9783551734716",,"Buch","Außenstelle Brigittenau I"
"Götter, Orakel und Visionen","Robert","Temple","Fachbuch Religion","3524690432",,"Buch","Außenstelle Brigittenau I"
"Am See der Krokodile","Edmund","Theil","Belletristik","321700874X",,"Buch","Außenstelle Brigittenau I"
"Die Sänften des Todes","Edmund","Theil","Belletristik","3217008774",,"Buch","Außenstelle Brigittenau I"
"Einstieg in Visual C# 2010","Thomas","Theis","Fachbuch IT","9783836216111",,"Buch","Außenstelle Brigittenau I"
"Mathematik für die BRP Teil 1","Friedrich","Tinhof","Fachbuch Naturwissenschaften","9783990335154",,"Buch","Außenstelle Brigittenau I"
"Mathematik für die BRP Teil 2","Friedrich","Tinhof","Fachbuch Naturwissenschaften","9783990338384",,"Buch","Außenstelle Brigittenau I"
"Mathematik für die BRP Teil 3","Friedrich","Tinhof","Fachbuch Naturwissenschaften","9783990621387",,"Buch","Außenstelle Brigittenau I"
"Der Herr der Ringe","John","Tolkien","Romansammlung","9783608938289",,"Buch","Außenstelle Brigittenau I"
"Die Tante Jolesch","Friedrich","Torberg","Belletristik","3423012668",,"Buch","Außenstelle Brigittenau I"
"Die Kunst des Krieges","Sun","Tsu","Fachbuch Geschichte","9783937872872",,"Buch","Außenstelle Brigittenau I"
"Pulling Strings with Puppet","James","Turnbull","Fachbuch IT","9781590599785",,"Buch","Außenstelle Brigittenau I"
"Tom Sawyer","Mark","Twain","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Märchen aus Österreich","Ulrike","Ulrich","Belletristik","9783700442301",,"Buch","Außenstelle Brigittenau I"
"Darstellende Geometrie Arbeitsblätter","Klaus","Ulshöfer","Fachbuch Naturwissenschaften","9783766160928",,"Buch","Außenstelle Brigittenau I"
"Wert über Gebühr","Klaus","Unterberger","Fachbuch Diverse",,,"Buch","Außenstelle Brigittenau I"
"Log out!","Oliver","Uschmann","Belletristik","9783839001295",,"Buch","Außenstelle Brigittenau I"
"In 80 Tagen um die Welt","Jules","Verne","Belletristik","3811225146",,"Buch","Außenstelle Brigittenau I"
"Reise zum Mittelpunkt der Erde","Jules","Verne","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Zwanzigtausend Meilen unter dem Meer I","Jules","Verne","Belletristik","9783257202441",,"Buch","Außenstelle Brigittenau I"
"Zwanzigtausend Meilen unter dem Meer II","Jules","Verne","Belletristik","9783257202458",,"Buch","Außenstelle Brigittenau I"
"Völkerrecht","Wolfgang","Vitzthum","Fachbuch Recht","3110171376",,"Buch","Außenstelle Brigittenau I"
"Der Drachenreiter","William","Voltz","Belletristik","4026411103099",,"Buch","Außenstelle Brigittenau I"
"Der Schlangengott","William","Voltz","Belletristik","4026411103136",,"Buch","Außenstelle Brigittenau I"
"Der Schrein des schlafenden Gottes","William","Voltz","Belletristik","4026411103082",,"Buch","Außenstelle Brigittenau I"
"Die Blutburg","William","Voltz","Belletristik","4026411103655",,"Buch","Außenstelle Brigittenau I"
"Herr der Kristalle","William","Voltz","Belletristik","4026411103297",,"Buch","Außenstelle Brigittenau I"
"Himmlisches Feuer","Hadmar","von Wieser","Belletristik","9783492265423",,"Buch","Außenstelle Brigittenau I"
"Grundwissen für Kommunikationselektroniker","Rolf","Wahl","Fachbuch IT","3341009817",,"Buch","Außenstelle Brigittenau I"
"Stadt der verlorenen Seelen","Hugh","Walker","Belletristik","4026411103105",,"Buch","Außenstelle Brigittenau I"
"Schrecklich amüsant","David","Wallace","Belletristik","9783442542291",,"Buch","Außenstelle Brigittenau I"
"Numbers","Rachel","Ward","Belletristik","9783551520074",,"Buch","Außenstelle Brigittenau I"
"Ende gut, gar nichts gut","Renate","Welsh","Belletristik","3702655131",,"Buch","Außenstelle Brigittenau I"
"Selbst denken: Eine Anleitung zum Widerstand","Harald","Welzer","Belletristik","9783100894359",,"Buch","Außenstelle Brigittenau I"
"Der rote Mandarin","Christopher","West","Belletristik","9783746619767",,"Buch","Außenstelle Brigittenau I"
"Yii 1.1","Jeffrey","Winesett","Fachbuch IT","9781847199584",,"Buch","Außenstelle Brigittenau I"
"Nachtläufer","Reinhold","Ziegler","Belletristik","9783800054237",,"Buch","Außenstelle Brigittenau I"
"Praktischer Aufbau und Prüfung von Antennenanlagen","Herbert","Zwaraber","Fachbuch Elektronik","3778521667",,"Buch","Außenstelle Brigittenau I"
"Megellan, Der Mann und seine Tat","Stefan","Zweig","Belletristik","9783596253562",,"Buch","Außenstelle Brigittenau I"
"45 Jahre ifoer",,,"Fachbuch Diverse","9783854373209",,"Buch","Außenstelle Brigittenau I"
"ACM 2 - externe Unternehmensrechnung",,,"Fachbuch Wirtschaft","90068409",,"Buch","Außenstelle Brigittenau I"
"ACM 2 - interne Unternehmensrechnung",,,"Fachbuch Wirtschaft","90068331",,"Buch","Außenstelle Brigittenau I"
"Beispielsammlung Wirtschaftsmathematik",,,"Fachbuch Wirtschaft","9789060980101",,"Buch","Außenstelle Brigittenau I"
"Der Koran",,,"Fachbuch Religion","9783406433092",,"Buch","Außenstelle Brigittenau I"
"Die Bibel",,,"Fachbuch Religion","9783853960752",,"Buch","Außenstelle Brigittenau I"
"Die Datenschleuder 102",,,"Fachbuch IT",,"9301054","Zeitschrift","Außenstelle Brigittenau I"
"Die Datenschleuder 100",,,"Fachbuch IT",,"9301054","Zeitschrift","Außenstelle Brigittenau I"
"Die Datenschleuder 101",,,"Fachbuch IT",,"9301054","Zeitschrift","Außenstelle Brigittenau I"
"Die Datenschleuder 98",,,"Fachbuch IT",,"9301054","Zeitschrift","Außenstelle Brigittenau I"
"Die Datenschleuder 99",,,"Fachbuch IT",,"9301054","Zeitschrift","Außenstelle Brigittenau I"
"Die Kraftfahrprüfung",,,"Fachbuch Diverse","3701190011",,"Buch","Außenstelle Brigittenau I"
"Diercke Weltatlas",,,"Fachbuch Diverse","9783703489006",,"Buch","Außenstelle Brigittenau I"
"Donald Duck 102",,,"Comic",,,"Buch","Außenstelle Brigittenau I"
"Duden Sinn- und Sachverwandte Wörter",,,"Fachbuch Diverse","3411209089",,"Buch","Außenstelle Brigittenau I"
"Excel 4.0",,,"Fachbuch IT",,,"Buch","Außenstelle Brigittenau I"
"Formeln kompakt",,,"Fachbuch Diverse","9783854929819",,"Buch","Außenstelle Brigittenau I"
"Formeln, Gesetze und Fachbegriffe der Chemie",,,"Fachbuch Naturwissenschaften","9783817477241",,"Buch","Außenstelle Brigittenau I"
"Fremdwörterbuch",,,"Fachbuch Diverse","3411209151",,"Buch","Außenstelle Brigittenau I"
"Internet: Nichts leichter als das!",,,"Fachbuch IT","9783931908423",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch 366",,,"Comic","4195525904202",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch 418",,,"Comic","4191624104994",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch 424",,,"Comic","4192312205504",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch 425",,,"Comic","4192312205504",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch 426",,,"Comic","4192312205504",,"Buch","Außenstelle Brigittenau I"
"Lustiges Taschenbuch: Fantasy",,,"Comic","4198185608992",,"Buch","Außenstelle Brigittenau I"
"Mama, warum habe ich keine Banane?",,,"Comic","3551714029",,"Buch","Außenstelle Brigittenau I"
"MS-DOS 6.2",,,"Fachbuch IT",,,"Buch","Außenstelle Brigittenau I"
"Österreichisches Wörterbuch",,,"Fachbuch Diverse","9783209050687",,"Buch","Außenstelle Brigittenau I"
"Readers Digest: Auswahlbücher",,,"Romansammlung","3870701595",,"Buch","Außenstelle Brigittenau I"
"Readers Digest: Auswahlbücher",,,"Romansammlung","387070229X",,"Buch","Außenstelle Brigittenau I"
"Readers Digest: Auswahlbücher",,,"Romansammlung","3870701404",,"Buch","Außenstelle Brigittenau I"
"Schülerduden Astronomie",,,"Fachbuch Diverse","3411022205",,"Buch","Außenstelle Brigittenau I"
"Schülerduden Musik",,,"Fachbuch Diverse","3411022418",,"Buch","Außenstelle Brigittenau I"
"Schülerduden Physik",,,"Fachbuch Diverse","341101122X",,"Buch","Außenstelle Brigittenau I"
"Schülerduden Psychologie",,,"Fachbuch Diverse","3411017953",,"Buch","Außenstelle Brigittenau I"
"Tipps für umweltfreundliches Handwerken",,,"Fachbuch Diverse","9783990910115",,"Buch","Außenstelle Brigittenau I"
"Vorrang - Verkehrsbeobachtung",,,"Fachbuch Diverse","370119002X",,"Buch","Außenstelle Brigittenau I"
"Windows 98 Trickkasten",,,"Fachbuch IT","9783328411390",,"Buch","Außenstelle Brigittenau I"
"Windows for Workgroups",,,"Fachbuch IT",,,"Buch","Außenstelle Brigittenau I"
"Kodex Verkehrsrecht 2019/2020","Werner","Doralt","Fachbuch Recht","9783700773078",,"Buch","Außenstelle Brigittenau I"
"Kodex Verfassungsrecht der Europäischen Union 2019","Werner","Doralt","Fachbuch Recht","9783700772125",,"Buch","Außenstelle Brigittenau I"
"Kodex Verfassungsrecht 2019","Werner","Doralt","Fachbuch Recht","9783700773054",,"Buch","Außenstelle Brigittenau I"
"Kodex Krankenanstaltengesetze 2018","Werner","Doralt","Fachbuch Recht","9783700765875",,"Buch","Außenstelle Brigittenau I"
"Behinderteneinstellungsgesetz","Günther","Widy","Fachbuch Recht",9783990461310,,"Buch","Außenstelle Brigittenau I"
"Einführung in das Völkerrecht","Otto","Kimminich","Fachbuch Recht",3825204693,,"Buch","Außenstelle Brigittenau I"
"BauO Wien","Reinhold","Moritz","Fachbuch Recht",9783214030995,,"Buch","Außenstelle Brigittenau I"
"Kodex Datenschutz 2019","Werner","Doralt","Fachbuch Recht",9783707340846,,"Buch","Außenstelle Brigittenau I"
"Statistik für Soziologen","Rainer","Diaz-Bone","Fachbuch Naturwissenschaften",9783825240349,,"Buch","Außenstelle Brigittenau I"
"Abkürzungs- und Zitierregeln der österreichischen Rechtssprache","Gerhard","Friedl","Fachbuch Recht",3214061577,,"Buch","Außenstelle Brigittenau I"
"Abkürzungs- und Zitierregeln der österreichischen Rechtssprache und europarechtlicher Rechtsquellen","Gabriele","Friedl","Fachbuch Recht",3214062050,,"Buch","Außenstelle Brigittenau I"
"Datenschutz im Rechtsvergleich","Konrad","Lachmayer","Fachbuch Recht",9783708918594,,"Buch","Außenstelle Brigittenau I"
"Computernetzwerke","Harald","Zisler","Fachbuch IT",9783836234795,,"Buch","Außenstelle Brigittenau I"
"Arbeits- und Organisationspsychologie","Siegfried","Greif","Fachbuch Naturwissenschaften",3621272747,,"Buch","Außenstelle Brigittenau I"
