"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Giovanna und der Sumpf","Karl","Bruckner","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Und fanden die Liebe nicht","Pearl","Buck","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Dämliche Dämonen","Royce","Buckingham","Belletristik","9783764530068",,"Buch","Außenstelle Brigittenau I"
"Der Wille des Königs","Royce","Buckingham","Belletristik","9783442269396",,"Buch","Außenstelle Brigittenau I"
"Analysis","Klemens","Burg","Fachbuch Naturwissenschaften","9783519529552",,"Buch","Außenstelle Brigittenau I"
"Einstein sagt","Alice","Calaprice","Fachbuch Geschichte","9783492250894",,"Buch","Außenstelle Brigittenau I"
"Command Line Kung Fu","Jason","Cannon","Fachbuch IT","9781499222036",,"Buch","Außenstelle Brigittenau I"
"LDAP","Gerald","Carter","Fachbuch IT","9781565924918",,"Buch","Außenstelle Brigittenau I"
"Nur der Tod sühnt deine Schuld","Carla","Cassidy","Belletristik","9783863653941",,"Buch","Außenstelle Brigittenau I"
"Internet Marketing for Dummies","Frank","Catalano","Fachbuch Wirtschaft","9780764507786",,"Buch","Außenstelle Brigittenau I"
"Alterra im Reich der Königin","Maxime","Chattam","Belletristik","9783426283066",,"Buch","Außenstelle Brigittenau I"
"Special Net Force: Das Ziel","Tom","Clancy","Belletristik","9783453722903",,"Buch","Außenstelle Brigittenau I"
"Artemis Fowl","Eoin","Colfer","Belletristik","9783548603209",,"Buch","Außenstelle Brigittenau I"
"Artemis Fowl: Der Geheimcode","Eoin","Colfer","Belletristik","9783548604855",,"Buch","Außenstelle Brigittenau I"
"Fundraising on the web","Adam","Corson","Fachbuch Wirtschaft","9780838907276",,"Buch","Außenstelle Brigittenau I"
"Robinson Crusoe","Daniel","Defoe","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Robinson Crusoe","Daniel","Defoe","Belletristik","9783860477663",,"Buch","Außenstelle Brigittenau I"
"Die blaue Katze die Oliven ißt","Meindert","DeJong","Belletristik","3414149605",,"Buch","Außenstelle Brigittenau I"
"Hinter dem Horizont","Andrej","Djakow","Belletristik","9783453315143",,"Buch","Außenstelle Brigittenau I"
"Die Reise in die Dunkelheit","Andrej","Djakow","Belletristik","9783453529397",,"Buch","Außenstelle Brigittenau I"
"Die Reise ins Licht","Andrej","Djakow","Belletristik","9783453528543",,"Buch","Außenstelle Brigittenau I"
"Weltgeschichte auf einen Blick","Hans","Dollinger","Fachbuch Geschichte",,,"Buch","Außenstelle Brigittenau I"
"Psychoanalytische Begriffe","Friedrich","Doucet","Fachbuch Psychologie",,,"Buch","Außenstelle Brigittenau I"
"Geist auf Abwegen: Parkinson, Asperger und Co.","Douwe","Draaisma","Fachbuch Psychologie","9783492253383",,"Buch","Außenstelle Brigittenau I"
"Der Graf von Monte Christo 1","Alexandre","Dumas","Belletristik","9783893506200",,"Buch","Außenstelle Brigittenau I"
"Geräte und Systemtechnik","Michael","Dzieia","Fachbuch Elektronik","9783142350370",,"Buch","Außenstelle Brigittenau I"
"Vegane Lunchbox","Jerome","Eckmeier","Fachbuch Diverse","9783831029372",,"Buch","Außenstelle Brigittenau I"
"Sämtliche Glossen und Parodien","Umberto","Eco","Romansammlung","3446201114",,"Buch","Außenstelle Brigittenau I"
"Allgemeinbildung XXL","Matthias","Edbauer","Fachbuch Diverse","9783817459858",,"Buch","Außenstelle Brigittenau I"
